"Establishment Number","Inspection Date","Time Orders Issued","Retention Of Food Equipment","Closure For Imminent Hazard","Closure For Cleaning","Disposed Of Food","Civil Penalty","Court Summons","Row Number",
,,0,0,0,0,0,1,0,1,
,"9/19/2008 12:00:00 AM",0,0,0,0,0,1,0,2,
,"12/3/2010 12:00:00 AM",0,0,0,0,0,1,0,3,
"1000      ","9/10/2007 2:45:00 PM",0,0,0,0,1,0,0,4,
"1000      ","1/7/2008 1:10:00 PM",0,0,0,0,1,0,0,5,
"1000      ","2/13/2008 12:00:00 AM",0,0,0,0,0,1,0,6,
"1000      ","5/27/2008 12:00:00 AM",0,0,0,0,0,1,0,7,
"10000     ","5/5/2015 9:00:00 AM",0,0,0,0,1,0,0,8,
"10000     ","11/2/2015 10:45:00 AM",0,0,0,0,1,0,0,9,
"10001     ","6/17/2014 10:30:13 AM",0,0,0,0,1,0,0,10,
"10001     ","11/4/2014 10:40:00 AM",0,0,0,0,1,0,0,11,
"10001     ","12/22/2015 1:00:00 PM",0,0,0,0,1,0,0,12,
"10002     ","5/20/2015 10:55:00 AM",1,0,0,0,1,0,0,13,
"10002     ","5/10/2016 11:00:00 AM",1,0,0,0,1,0,0,14,
"10008     ","5/19/2014 2:10:00 PM",0,0,0,0,1,0,0,15,
"10008     ","3/30/2016 9:30:00 AM",0,0,0,0,1,0,0,16,
"10008     ","5/10/2016 2:50:00 PM",0,0,0,0,1,0,0,17,
"10009     ","4/16/2014 11:37:31 AM",1,0,0,0,1,0,0,18,
"10009     ","10/13/2014 4:30:00 PM",0,0,0,0,1,0,0,19,
"1001      ","10/4/2006 12:45:00 PM",0,0,0,0,1,0,0,20,
"1001      ","7/17/2007 3:15:00 PM",0,0,0,0,1,0,0,21,
"1001      ","9/16/2009 11:00:00 AM",0,0,0,1,0,0,0,22,
"1001      ","10/8/2009 4:16:54 PM",0,0,0,0,1,0,0,23,
"1001      ","6/18/2010 12:00:00 AM",0,0,0,0,0,1,0,24,
"10010     ","7/17/2015 10:05:00 AM",0,0,0,0,1,0,0,25,
"10011     ","5/20/2014 12:05:10 PM",1,0,0,0,0,0,0,26,
"10011     ","11/4/2014 1:35:00 PM",0,0,0,0,1,0,0,27,
"10011     ","4/29/2015 11:05:10 AM",1,0,0,0,0,0,0,28,
"10011     ","7/17/2015 11:30:00 PM",0,0,0,0,1,0,0,29,
"10016     ","6/4/2014 11:20:26 PM",0,0,0,0,1,0,0,30,
"10016     ","9/25/2015 3:30:00 PM",0,0,0,0,1,0,0,31,
"1002      ","6/27/2002 12:00:00 AM",0,0,0,0,1,0,0,32,
"1002      ","7/5/2002 12:00:00 AM",1,0,0,0,1,0,0,33,
