OBJECTID,HSISID,Score,Date,Description,Type
1001,04092014674,94,2014-12-18T00:00:00.000Z,Follow-Up: 12/19/2014,Inspection
1002,04092014674,96,2015-06-10T00:00:00.000Z,Follow-Up: 06/19/2015,Inspection
1003,04092014674,97.5,2015-12-01T00:00:00.000Z,,Inspection
1004,04092014674,94.5,2016-06-07T00:00:00.000Z,Follow-Up: 06/17/2016,Inspection
1005,04092016539,96.5,2014-09-08T00:00:00.000Z,,Inspection
1006,04092016539,97.5,2015-02-18T00:00:00.000Z,"Educational note:  Water in wash compartment of sink observed at 95 F. No warewashing going on at time of observation. Please be aware that water in warewashing sink shall be at least 110 degrees F during active warewashing. Drain and refill sink with water of the proper temperature before washing wares.  ...   Significant improvement in lighting in walk in cooler.  Thank you for your efforts in this area.  ... Establishment has recently replaced some equipment.  Replacement equipment appears to meet requirements for approval.  In the future, please remember that equipment that is replaced with equipment that is not like-for-like must be approved by this office prior to installation.",Inspection
1007,04092016539,99,2015-08-13T00:00:00.000Z,,Inspection
1008,04092016539,92.5,2015-12-02T00:00:00.000Z,Follow-Up: 12/09/2015,Inspection
1009,04092016539,97,2016-06-27T00:00:00.000Z,,Inspection
1010,04092017052,94.5,2015-12-17T00:00:00.000Z,,Inspection
1011,04092017052,92.5,2016-06-20T00:00:00.000Z,,Inspection
1012,04092016016,96.5,2013-05-29T00:00:00.000Z,,Inspection
1013,04092016016,95,2013-01-23T00:00:00.000Z,,Inspection
1014,04092016016,94,2015-10-01T00:00:00.000Z,,Inspection
1015,04092016016,94,2016-04-11T00:00:00.000Z,,Inspection
1016,04092016016,93.5,2016-10-07T00:00:00.000Z,,Inspection
1017,04092014599,96.5,2012-11-21T00:00:00.000Z,Be sure to have proper handwashing discussions with employees on a regular basis.,Inspection
1018,04092014599,93.5,2013-11-15T00:00:00.000Z,PIC has employee health policy but the form lacks conditional employee section. Provided Form 1-B.,Inspection
1019,04092014599,96.5,2013-06-28T00:00:00.000Z,Be sure to have proper hand washing discussions with employees on a regular basis.,Inspection
1020,04092015899,98.5,2014-02-15T00:00:00.000Z,,Inspection
1021,04092015899,98.5,2015-01-28T00:00:00.000Z,,Inspection
1022,04092021886,98,2016-09-30T00:00:00.000Z,,Inspection
1023,04092110486,98,2015-09-15T00:00:00.000Z,,Inspection
1024,04092110486,97.5,2015-12-07T00:00:00.000Z,,Inspection
1025,04092110486,97.5,2016-02-23T00:00:00.000Z,,Inspection
1026,04092110486,98,2016-05-03T00:00:00.000Z,,Inspection
1027,04092440324,96.5,2014-06-18T00:00:00.000Z,,Inspection
1028,04092014564,95,2012-12-10T00:00:00.000Z,,Inspection
1029,04092016490,97,2015-11-17T00:00:00.000Z,,Inspection
1030,04092016490,98,2016-05-20T00:00:00.000Z,,Inspection
1031,04092016153,92,2015-02-04T00:00:00.000Z,,Inspection
1032,04092016153,94.5,2015-07-06T00:00:00.000Z,Spotted marinara sauce in a hot hold pot less than 135. Manager was unsure of it being made with real tomatoes or tomatoes out of the can that can be stored at room temperature. (Marinara was discarded). Ensure that marinara sauce that is made with real tomatoes are being held at 135 and above while hot holding.,Inspection
1033,04092016153,92.5,2016-02-18T00:00:00.000Z,Ensure that wiping cloth bucket sanitizer is being changed once heavily soiled. Observed heavily soiled sanitizer in wiping cloth bucket. Clean light shield above fryer. Recommending that the facility focus heavily on cleaning throughout facility and equipment located in the facility.,Inspection
1034,04092015466,97.5,2016-02-26T00:00:00.000Z,"serve safe not applicable because the kitchen is closed and no food is being prepared. The only food in the kitchen is being used for chefs who are interviewing for the chef position.  A couple of months ago,the previous owner sold the business and walked out leaving all foods out in the coolers, fryers, etc. The new owner has been working to deep clean everything and toss out the foods/dry goods left behind. The bar area is operating at this time but the kitchen is closed until a chef is hired.",Inspection
1035,04092021605,98.5,2013-01-07T00:00:00.000Z,,Inspection
1036,04092016260,94.5,2013-01-24T00:00:00.000Z,"Continue completion of Transitional Permit requirements. All items on Transitional Permit list must be completed by deadline of March 17, 2013.

Inspector will return on 2/4/13 to verify correction of Item # 8 and #14.",Inspection
1037,04092016260,96,2012-11-05T00:00:00.000Z,"Continue completion of Transitional Permit requirements. Transitional Permit expires on March 17, 2013.",Inspection
1038,04092016264,93,2012-10-23T00:00:00.000Z,"Handsinks behind bar: Properly supply at least 2 handwashing sinks behind bar (one on each long side) with hot and cold running water, papers towels and soap. Do not use designated handwashing sinks as dump sinks. Handwashing sinks are for handwashing only.",Inspection
1039,04092016700,97,2014-12-31T00:00:00.000Z,"Past.eggs used for Caesar Dressing.
Approved Consumer Advisory was observed on lunch menu.
Follow-Up: 01/09/2015",Inspection
1040,04092015605,94.5,2015-05-22T00:00:00.000Z,"Manager stated that she was under the impression that all workers in the facility are required to have serv safe. Mentioned is a direct rule from the food code that is followed by wake county:Violation Codes
(A) At least one EMPLOYEE who has supervisory and management responsibility and the authority to direct and control FOOD preparation and service shall be a certified FOOD protection manager who has shown proficiency of required information through passing a test that is part of an American National Standards Institute (ANSI)-ACCREDITED PROGRAM.

(B) This section does not apply to CONGREGATE NUTRITION SITES and Risk Category I FOOD ESTABLISHMENTS as defined in 10A NCAC 46 .0213.",Inspection
1041,04092015605,95,2016-09-27T00:00:00.000Z,,Inspection
1042,04092021623,93,2016-08-05T00:00:00.000Z,"Will return on August 15th to collect water sample.
Maintain rubber dumpster cans better.

Follow-Up: 08/15/2016",Inspection
1043,04092016551,88.5,2014-10-21T00:00:00.000Z,Contact Andrea Anover at 919-796-8088 when ready for reinspection.,Inspection
1044,04092016551,96.5,2014-10-29T00:00:00.000Z,,Re-Inspection
1045,04092021477,96.5,2015-01-22T00:00:00.000Z,,Inspection
1046,04092021477,96,2015-04-09T00:00:00.000Z,,Inspection
1047,04092016166,94,2013-11-01T00:00:00.000Z,,Inspection
1048,04092016166,99.5,2014-04-03T00:00:00.000Z,,Inspection
1049,04092016166,96.5,2014-08-25T00:00:00.000Z,,Inspection
1050,04092016166,94,2015-04-07T00:00:00.000Z,"Small reach in at customer self service area is now holding foods 45F and below. Door may have been reason for elevated temperatures. Monitor for at least 24 hours to ensure open door reason for spike in temperatures. 
Follow-Up: 04/17/2015",Inspection
1051,04092016166,94,2015-08-07T00:00:00.000Z,,Inspection
1052,04092016166,95.5,2016-02-18T00:00:00.000Z,,Inspection
1053,04092015099,98.5,2014-04-23T00:00:00.000Z,,Inspection
1054,04092015099,97,2014-10-21T00:00:00.000Z,,Inspection
1055,04092015099,98.5,2015-05-01T00:00:00.000Z,,Inspection
1056,04092440357,90,2015-04-09T00:00:00.000Z,,Inspection
1057,04092440357,94,2016-08-10T00:00:00.000Z,"In classrooms, protect disposable plastic forks, spoons, plates, etc. with handles up and plates stored in original plastic...Found unattended hand sanitizer on open shelf near teacher's desk in unlocked classroom (no one was in classroom). Also found hand sanitizer and aerosol spray in unlocked staff bathroom. REMINDER ABOUT STORAGE OF HAND SANITIZERS & AEROSOL SPRAYS: These products are often labeled ""keep out of reach of children"" and sprays have other health warnings. Therefore, keep hand sanitizers at least 5 feet above floor or near or inside teachers' desks and under teachers' direct supervision and control. Keep aerosol sprays in closed or locked cabinets...PLAYGROUND AREA: Remove peeling paint from wooden posts under covered area and repaint as needed.",Inspection
1058,04092015101,96,2014-03-05T00:00:00.000Z,Follow-Up: 03/15/2014,Inspection
1059,04092015101,93,2015-02-02T00:00:00.000Z,,Inspection
1060,04092015411,95.5,2013-08-06T00:00:00.000Z,"NC FOOD CODE MANUAL:  To learn more about the new food establishment regulations that went into effect on September 1, 2012, download a copy of the North Carolina Food Code Manual at www.wakegov.com/food (click on ""New Food Rules"" link).  Other guidance and educational materials are also available at this link.",Inspection
1061,04092015411,96,2014-03-21T00:00:00.000Z,"NC FOOD CODE MANUAL:  To learn more about the new food establishment regulations that went into effect on September 1, 2012, download a copy of the North Carolina Food Code Manual at www.wakegov.com/food (click on ""New Food Rules"" link).  Other guidance and educational materials are also available at this link.",Inspection
1062,04092015411,95.5,2016-05-17T00:00:00.000Z,,Inspection
