,name,id,is_closed,rating,review_count,location.address1,location.zip_code,coordinates.latitude,coordinates.longitude,price,phone,categories
1,Brigs at the Crossing,brigs-at-the-crossing-cary-3,FALSE,3.5,70,Maynard Crossing Shopping Ctr,27513,35.7847953,-78.8100567,$$,19194819300,"breakfast_brunch,sandwiches"
2,Another Broken Egg Cafe,another-broken-egg-cafe-morrisville,FALSE,3.5,175,1121 Market Center Dr,27560,35.8077559,-78.8148663,$$,19194651079,"breakfast_brunch,cafes,tradamerican"
3,Brigs at the Village,brigs-at-the-village-cary-3,FALSE,3.5,63,Tryon Village Shopping Ctr,27518,35.746112,-78.744518,$$,19198592151,"breakfast_brunch,sandwiches"
4,Barry's Cafe,barrys-cafe-raleigh,FALSE,4,146,2851 Jones Franklin Rd,27606,35.74338008,-78.7377279,$,19198593555,"burgers,breakfast_brunch,tradamerican"
1,Food Lion,food-lion-garner,FALSE,2.5,2,301 Timber Dr,27529,35.6861153,-78.6082764,$,19197795551,grocery
2,Gigi's Cupcakes of Brier Creek,gigis-cupcakes-of-brier-creek-raleigh-2,FALSE,3.5,77,8521 Brier Creek Parkway,27617,35.9055578,-78.7858534,$$,19192064002,"bakeries,cupcakes,desserts"
3,Food Lion,food-lion-garner-3,FALSE,2,1,1339 5th Ave,27529,35.70876012,-78.62326497,$$,19197790770,grocery
4,Taqueria El Toro,taqueria-el-toro-raleigh,FALSE,4.5,184,3601 Junction Blvd,27603,35.73082,-78.6571,$,19196615676,mexican
5,Kroger,kroger-garner,FALSE,3,22,2680 Timber Dr,27529,35.7164158,-78.6393358,$$,19196618400,grocery
6,"Food Lion, Inc.",food-lion-inc-raleigh-13,FALSE,3,4,6209 Rock Quarry Rd,27610,35.72312,-78.54796,$$,19197725894,"delis,bakeries"
7,Hibachi China 88,hibachi-china-88-garner-3,FALSE,4,20,239 Timber Drive,27529,35.68482995,-78.60629452,$,19842025880,"japanese,sushi,chinese"
8,Griffin Wing Productions,griffin-wing-productions-raleigh,FALSE,5,1,NA,27617,35.9041743,-78.8058426,NA,13364621103,"videographers,videofilmproductions"
9,Food Lion,food-lion-garner-2,FALSE,4,4,75 Glen Rd,27529,35.6073137,-78.5671636,$$,19197721423,"delis,grocery"
10,State Farmers Market,state-farmers-market-raleigh,FALSE,4.5,182,1201 Agriculture St,27603,35.7640968,-78.6646553,$,19197337417,farmersmarket
11,Simonetti Floor Contracting,simonetti-floor-contracting-durham,FALSE,5,5,,,35.99542,-78.89644,NA,19199498300,"flooring,refinishing"
12,Tuscan Blu,tuscan-blu-raleigh,FALSE,3.5,103,327 W Davie St,27601,35.775168,-78.6447558,$$,19198345707,"italian,beer_and_wine"
13,Cara Pierce - Fonville Morisey Realty,cara-pierce-fonville-morisey-realty-raleigh,FALSE,5,1,8100 Creedmoor Rd,27613,35.8977394,-78.68013,NA,19192746593,realestateagents
14,Raleigh Raw,raleigh-raw-raleigh,FALSE,4.5,51,7 W Hargett St,27601,35.77818992,-78.63955754,$$,19194000944,"juicebars,coffee,kombucha"
15,Food Lion,food-lion-raleigh-9,FALSE,2,6,3416 Poole Rd Ste 120,27610,35.7672386,-78.5795288,$$,19192316202,grocery
16,JuiceVibes,juicevibes-clayton-9,FALSE,4,7,11692 Us 70 Business Hwy W,27520,35.67359,-78.486865,$$,19195852487,juicebars
