,name,id,is_closed,rating,review_count,location.address1,location.zip_code,coordinates.latitude,coordinates.longitude,price,phone,categories
1,Pho Far East,pho-far-east-raleigh,FALSE,4,296,4011 Capital Blvd,27604,35.8363981,-78.58332532,$$,19198768621,vietnamese
2,Pho Super 9,pho-super-9-raleigh,FALSE,4,93,6401 Triangle Plantation Dr,27616,35.87398598,-78.58232874,$$,19198781599,vietnamese
3,Spring Cafe,spring-cafe-raleigh,FALSE,3.5,35,2900 Spring Forest Rd,27616,35.85495,-78.59114,$,19199773679,"breakfast_brunch,sandwiches,tradamerican"
4,Mo-Te Vietnamese Restaurant,mo-te-vietnamese-restaurant-raleigh,FALSE,4,74,3901-163 Capital Blvd,27604,35.83618644,-78.58626061,$,19198723561,vietnamese
5,Pho 79 & Crawfish,pho-79-and-crawfish-raleigh,FALSE,3.5,42,3310 Capital Blvd,27604,35.82479479,-78.5855562,$$,19198787898,"vietnamese,seafood"
6,Olive Garden Italian Restaurant,olive-garden-italian-restaurant-raleigh-2,FALSE,3,60,4805 Capital Blvd,27616,35.8508987,-78.5815735,$$,19199548557,"italian,salad,wine_bars"
7,Cafe Capistrano,cafe-capistrano-raleigh,FALSE,3.5,66,8741 Garvey Dr,27616,35.8951,-78.56837,$$,19198721127,"mexican,cafes"
8,Saint Jacques,saint-jacques-raleigh,FALSE,4.5,154,6112 Falls Of Neuse Rd,27609,35.866096,-78.618364,$$$,19198622770,"french,wine_bars"
9,Deja Brew  Coffee House,deja-brew-coffee-house-raleigh-2,FALSE,3.5,53,5001 Falls of Neuse Rd,27609,35.84915076,-78.61510301,$,19192394612,coffee
10,Starbucks,starbucks-raleigh-19,FALSE,5,5,5959 Triangle Town Blvd,27616,35.8667908,-78.5738373,$$,19197922227,coffee
11,Sawasdee Thai Restaurant,sawasdee-thai-restaurant-raleigh,FALSE,4,141,3601 Capital Blvd,27604,35.82958,-78.58592,$$,19198780049,thai
12,Sola Coffee Cafe,sola-coffee-cafe-raleigh,FALSE,4.5,224,7705 Lead Mine Rd,27615,35.885281,-78.659985,$,19198038983,"coffee,cafes,donuts"
13,Coquette Brasserie,coquette-brasserie-raleigh-3,FALSE,4,320,4351 The Circle at North HIlls,27609,35.83787243,-78.64244651,$$,19197890606,"french,breakfast_brunch"
