ViolationCode,N
4-501.11,9979
6-501.12,7408
3-501.17,7121
4-601.11(B)(C),7075
4-601.11(A),6759
3-501.16(A)(2)(B),6229
2-102.12,5745
3-304.14,5533
4-602.13,5390
3-302.11,4843
6-501.11,4406
4-903.11(A)(C),3631
4-501.114,3429
4-903.11(A)(B),3418
6-303.11,3089
3-501.16(A)(1),3063
3-501.15,3030
3-304.12,2732
4-205.10,2711
3-302.12,2687
3-305.11,2592
4-901.11,2543
2-401.11,2477
"2-201.11(A),(B),(C), (E)",2227
7-102.11,2211
7-201.11,2182
5-205.15(A)(B),2155
3-603.11,2154
5-205.11,1964
2-103.11(M),1896
5-202.12,1885
4-602.11,1822
5-203.14,1755
2-303.11,1746
5-501.17,1725
6-301.12,1664
6-201.11,1649
6-301.14,1634
6-202.11,1596
4-501.12,1574
4-501.19,1527
6-501.111,1421
2-301.14,1393
5-501.115,1359
4-502.11(B),1331
2-402.11,1329
6-501.14,1316
2-201.11(A),1267
4-502.11(A)(C),1249
4-501.14,1190
3-501.18,1153
6-501.16,1129
3-501.19,1051
5-501.16,1046
6-501.18,1032
4-502.13,1029
5-501.114,1025
4-204-112,945
4-202.16,930
5-202.14,900
3-301.11,892
3-501.14,850
4-302.12,818
4-302.14,815
3-501.13,793
4-202.11,788
5-501.113,755
6-301.11,746
5-501.111,725
6-501.114,676
3-305.12,663
4-703.11,661
2-301.12,599
3-306.11,578
7-204.11,558
4-101.19,533
3-307.11,502
4-203.11,462
5-202.13,462
8-103.11,446
3-403.11,426
2-102.11,425
6-501.113,416
5-501.116,388
5-501.110,386
6-101.11,382
4-904.11,346
3-203.12,339
4-501.18,339
2-201.11(D)(F),320
4-702.11,288
4-203.12,282
5-501.15,281
3-304.11,277
6-305.11,276
6-202.15,275
3-302.15,246
3-401.11,242
2-103.11(A)-(L),232
2-301.15,230
3-101.11,229
6-403.11,228
6-501.13,227
3-402.12,208
4-101.11,198
2-201.12,188
3-502.11,187
6-202.14,181
6-501.112,181
2-201.13,177
3-402.11,174
3-602.11,173
7-203.11,171
6-501.110,170
4-301.12,161
3-202.15,147
4-501.112,146
4-501.110,145
3-305.14,141
3-304.15(A),140
4-402.11,139
4-201.11,134
5-103.11,133
4-301.11,127
6-201.13,117
4-204.11,117
6-202.13,117
3-304.13,112
6-304.11,108
4-903.12,105
4-102.11,104
6-501.19,101
5-205.12,99
5-501.13,97
7-101.11,96
4-501.15,96
2-302.11,93
7-207.11,92
6-201.17,86
4-803.11,86
4-202.18,84
6-201.12,83
5-203.15,82
3-201.11,81
8-201.13,77
4-204.113,76
3-304.15(B)-(D),75
4-301.14,74
4-202.15,72
7-208.11,71
6-202.12,69
4-204.115,69
3-303.12,65
4-603.16,65
4-901.12,63
7-202.12,61
3-502.12,60
6-201.16,59
4-402.12,59
8-103.12,54
6-302.11,52
4-501.116,52
5-402.13,51
4-602.12,51
5-203.13,48
5-501.11,47
3-202.11,43
2-101.11,43
4-101.17,41
5-204.12,38
5-502.11,38
5-204.11,38
4-204.119,37
5-103.12,36
7-209.11,34
4-501.16,34
7.202.11,32
5-203.12,32
3-306.12(A),30
4-101.18,30
3-501.11,29
5-403.12,29
5-202.11,28
2-304.11,28
3-501.12,27
3-303.11,27
5-203.11,26
3-304.16,26
3-202.18,23
6-202.16,23
4-204.118,23
3-302.14,22
3-306.13(B)(C),21
4-501.115,21
3-701.11,21
3-202.12,20
6-202.110,20
4-204.117,20
7-301.11,19
4-502.12,19
3-601.12,17
3-203.11,17
3-301.12,17
"3-801.11(A),(B),(C),(E)(G)",17
5-403.11,17
6-404.11,17
3-306.14,17
3-302.13,17
4-302.13,17
6-501.15,16
6-301.13,16
4-501.17,16
4-101.16,14
4-904.13,14
5-501.112,13
6-201.18,13
6-202.19,13
4-204.114,13
5-402.11,12
3-306.13(A),12
3-401.13,11
5-501.12,11
2-301.11,11
4-502.14,11
4-204.120,10
2-401.12,9
5-303.12,9
4-802.11,9
4-803.12,9
4-203.13,9
4-301.13,9
3-601.11,8
2-301.16,8
4-801.11,8
4-501.111,8
4-501.13,8
3-201.14,7
5-501.18,7
6-501.115,7
7-204.12,6
8-201.14,6
6-402.11,6
4-603.12,6
4-603.14,6
4-401.11,6
5-501.19,5
6-102.11,5
3-304.17,5
4-204.12,5
3-201.12,4
5-104.11,4
6-202.111,4
3-401.12,4
7-206.11,3
7-207.12,3
5-401.11,3
5-402.12,3
5-201.11,3
5-402.14,3
4-501.113,3
4-904.12,3
4-204.122,3
4-204.15,3
3-201.15,2
3-202.14,2
7-205.11,2
3-404.11,2
5-204.13,2
5-502.12,2
6-202.112,2
5-302.16,2
2-403.11,2
3-801.11(D),2
5-304.12,2
5-102.12,2
3-201.16,1
3-202.13,1
7-206.12,1
3-202.17,1
5-101.12,1
4-401.11(C),1
6-201.14,1
5-302.11,1
6-501.17,1
5-205.14,1
5-102.13,1
4-204.16,1
4-603.13,1
4-603.15,1
4-902.11,1
4-603.17,1
4-204.110(A),1
4-201.12,1
5-302.12,1
5-503.11,1
6-201.15,1
4-101.13,1
4-202.12,1
4-101.15,1
