License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2104763,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,MIRABITO HOLDINGS INC,ONONDAGA HILL QUICKWAY 48,4464 WEST SENECA TURNPIKE,,SYRACUSE,NY,13215,861841,,11/1/2014,10/31/2017,42.9981513,-76.2032404,"(42.9981513, -76.2032404)"
2159199,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ESSA A ALSOFARI,DIAMOND SUPERMARKET,1701 COURT STREET,,SYRACUSE,NY,13208,884184,9/8/2010,9/1/2016,8/31/2019,43.07940593,-76.14459795,"(43.07940593, -76.14459795)"
2160428,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LACIS VENTURES LLC,LACIS TAPAS BAR,304 HAWLEY AVE,,SYRACUSE,NY,13203,860659,7/30/2010,7/1/2016,6/30/2018,43.05325356,-76.1419108,"(43.05325356, -76.1419108)"
2160801,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,3496 ERIE BLVD EAST,KINNE RD & THOMPSON RD,SYRACUSE,NY,13214,866945,10/21/2010,10/1/2016,9/30/2018,43.04287486,-76.06804431,"(43.04287486, -76.06804431)"
2161058,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SIX STRINGS INC,DR'S TAVERN,1417 WEST GENESEE STREET,,SYRACUSE,NY,13204,865623,10/8/2010,10/1/2016,9/30/2018,43.05219176,-76.18149989,"(43.05219176, -76.18149989)"
2161469,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,313 SAND STREET LLC,MR MIKES FOMOSO TAVERN,313 SAND STREET,,SYRACUSE,NY,13204,864700,8/9/2010,8/1/2016,7/31/2018,43.056311,-76.16769622,"(43.056311, -76.16769622)"
2162307,LIQUOR STORE,222,L,Albany,2,ONONDAGA,NCP LIQUORS INC,PASCALE'S LIQUOR SQUARE,3150 ERIE BOULEVARD EAST,,SYRACUSE,NY,13214,866334,10/12/2010,5/1/2015,4/30/2018,43.05495868,-76.07761038,"(43.05495868, -76.07761038)"
2162734,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,MANAL BADWAN,NUMBER 1 CONVENIENT,1000 BUTTERNUT ST,CARBON ST & PARK ST,SYRACUSE,NY,13208,885716,12/3/2010,12/1/2016,11/30/2019,43.06398161,-76.14327801,"(43.06398161, -76.14327801)"
2163276,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DEAN P WHITTLES INC,DJS ON THE HILL,161 163 MARSHALL STREET,,SYRACUSE,NY,13210,841741,12/9/2010,12/1/2014,11/30/2016,43.04164974,-76.13526974,"(43.04164974, -76.13526974)"
2164232,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,SU CORNER MARKET INC,SU CORNER MARKET,701 SOUTH CROUSE AVE,,SYRACUSE,NY,13210,884599,12/29/2010,12/1/2016,11/30/2019,43.0426425,-76.13654798,"(43.0426425, -76.13654798)"
