FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
Johnson Vocational Center           ,"573 EAST GENESEE STREET,  SYRACUSE",05/24/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,573 EAST GENESEE STREET,SYRACUSE,13202    ,330100,SYRACUSE,Johnson Vocational Center,12/31/2016,,Syracuse City School District,Warner,Ken,536811,Inspection,,,NY,"(43.047666, -76.144396)"
Daniella's Steakhouse               ,"670 State Fair  BOULEVARD,  Syracuse",03/23/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,670 State Fair  BOULEVARD,Syracuse,13209    ,335600,GEDDES,Daniella's Steakhouse,12/31/2016,,Daniella's Steakhouse,Roman,Charles,536405,Re-Inspection,,Reinspection conducted to check violation items written on 3/8/2016.  Conditions appear satisfactory at this time.,NY,"(43.081036, -76.227019)"
Burger King Restaurant #476         ,"955 WEST Genesee STREET,  Syracuse",02/11/2016,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,955 WEST Genesee STREET,Syracuse,13204    ,330100,SYRACUSE,Burger King Restaurant #476,01/31/2017,,Carrols Corporation,Flanders,Paul,293747,Inspection,,Establishment has probe/metal-stem type thermometere onsite as required.,NY,"(43.053556, -76.169262)"
Lee's Place                         ,"449 NORTH Salina STREET,  Syracuse",02/19/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,449 NORTH Salina STREET,Syracuse,13203    ,330100,SYRACUSE,Lee's Place,01/31/2017,,"Lee's Place, Inc.",Hui,Wang Dong,562154,Re-Inspection,,Reinspection this date for violations cited during the inspection on 01/28/16. All violations have been corrected at this time. A stipulation agreement for a reduced fine may be accepted at this time. Recommend to abate.,NY,"(43.056891, -76.152127)"
Our Lady of Lourdes Church          ,"300 Valley DRIVE,  Syracuse",03/04/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,300 Valley DRIVE,Syracuse,13207    ,330100,SYRACUSE,Our Lady of Lourdes Church,01/31/2017,,Our Lady of Lourdes Church,,,674853,Inspection,,Conditions appear satisfactory at this time.,NY,"(43.016131, -76.15993)"
Thompson Road Tavern                ,"6266 Thompson ROAD,  Syracuse",04/21/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6266 Thompson ROAD,Syracuse,13206    ,335300,DEWITT,Thompson Road Tavern,01/31/2017,,6266 Thompson Road Corporation,Butler,Curtis,539773,Re-Inspection,,Field visit this date for a reinspection of violations cited during the inspection on 04/04/16. All violations have been corrected at this time. Recommend abatement.,NY,"(43.076036, -76.088896)"
McDonald's Restaurant               ,"6481 Thompson ROAD,  Syracuse",04/27/2016,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6481 Thompson ROAD,Syracuse,13206    ,335300,DEWITT,McDonald's Restaurant,01/31/2017,,"JDK Enterprises, LLC",Kemmerer,Janis,294082,Inspection,,,NY,"(43.084108, -76.08987)"
Northside CYO                       ,"527 NORTH Salina STREET,  Syracuse",03/22/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,527 NORTH Salina STREET,Syracuse,13208    ,330100,SYRACUSE,Northside CYO,01/31/2017,,Catholic Charities,Kelso,Scott,693543,Inspection,,Conditions appear to be satisfactory at this time.,NY,"(43.058341, -76.152099)"
Nottingham High School              ,"3100 EAST GENESEE STREET,  SYRACUSE",04/12/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,3100 EAST GENESEE STREET,SYRACUSE,13224    ,330100,SYRACUSE,Nottingham High School,12/31/2016,,Syracuse City School District,Warner,Ken,466925,Re-Inspection,,"Re-inspection notes all violations per inspection on 3/23/16 corrected, abate violation notice.",NY,"(43.042666, -76.099501)"
Dunkin Donuts                       ,"1135  Salt Springs ROAD,  Syracuse",04/05/2016,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1135  Salt Springs ROAD,Syracuse,13224    ,330100,SYRACUSE,Dunkin Donuts,01/31/2017,,"Syracuse Foodservice Group, LLC",Wolak,Ed,743074,Inspection,,,NY,"(43.047697, -76.094735)"
Merriday School                     ,"1636 JAMES STREET,  SYRACUSE",01/05/2016,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; ",1,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,1636 JAMES STREET,SYRACUSE,13203    ,330100,SYRACUSE,Merriday School,12/31/2018,,Donald and Mary Pickard,Pickard,Donald & Mary,466918,Inspection,,Red item corrected at this time.,NY,"(43.06407, -76.124454)"
Jreck Subs                          ,"1601 Valley DRIVE,  Syracuse",01/07/2016,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1601 Valley DRIVE,Syracuse,13207    ,330100,SYRACUSE,Jreck Subs,01/31/2017,,Northeast Food Management Corp.,Hasselwonder,John,293653,Inspection,,,NY,"(43.001984, -76.153072)"
Dunkin Donuts                       ,"107 City Crossroads DRIVE,  Syracuse",11/18/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,107 City Crossroads DRIVE,Syracuse,13210    ,330100,SYRACUSE,Dunkin Donuts,01/31/2017,,CNY Commissary LLC,Wolak,Ed,540652,Re-Inspection,,"Today's reinspection notes all previous violations have been sufficiently corrected.  No further action necessary, recommend abate.",NY,"(43.053482, -76.11568)"
Strong Hearts Café                  ,"719 EAST Genesee STREET,  Syracuse",10/14/2015,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,719 EAST Genesee STREET,Syracuse,13210    ,330100,SYRACUSE,Strong Hearts Café,01/31/2017,,"Strong Hearts Café, LLC",Ryan,Nicholas,659637,Inspection,,Recommend replacing ice scoop with a blue shielded ice scoop.,NY,"(43.047413, -76.140689)"
Munjed's Mediterranean Rest. & Loung,"503-505 Westcott STREET,  Syracuse",11/03/2015,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,503-505 Westcott STREET,Syracuse,13210    ,330100,SYRACUSE,Munjed's Mediterranean Restaurant & Lounge,01/31/2017,,"Metro Lounge & Cafe, LLC",Essi,Sammer,589502,Re-Inspection,,Reinspection this date for violations cited during the inspection on 10/06/15. The majority of violations have been corrected at this time. Recommend to abate.,NY,"(43.041384, -76.119254)"
Espress Oasis                       ,"750 EAST Adams STREET,  Syracuse",10/21/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,750 EAST Adams STREET,Syracuse,13210    ,330100,SYRACUSE,Espress Oasis,01/31/2017,,Praxton Ent. Inc.,Exton,Keith,293823,Re-Inspection,,"Today's reinspection finds all previous violations have been corrected.  Recommend abate, no further action necessary.",NY,"(43.042625, -76.140465)"
Valley Stadium Concession Stand     ,"Amidon DRIVE,  Syracuse",10/24/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA, Amidon DRIVE,Syracuse,13205    ,330100,SYRACUSE,Valley Stadium Concession Stand,01/31/2017,,Onondaga Valley Lacrosse Association,Eccles,Walt,567208,Inspection,,Facility has no deficiencies.  Inspection done during the Football season so no member of the lacrosse association was present.  Conditions satisfactory to operate.,NY,"(42.99663, -76.1439)"
