facility,address,zip,date_of_inspection,nys_health_operation_id,inspection_type,food_service_type,food_service_description,lat,lng,num_critical,num_non_critical,num_critical_not_corrected,num_critical_previous,num_non_critical_previous,num_non_critical_not_corrected_previous
21 Asian Center,"124 Headson DRIVE,  Syracuse",13214,2015-01-15,890860,Inspection,Food Service Establishment,Restaurant,NA,NA,0,4,0,NA,NA,NA
21 Asian Center,"124 Headson DRIVE,  Syracuse",13214,2016-01-07,890860,Inspection,Food Service Establishment,Restaurant,NA,NA,0,3,0,0,4,0
2nd North Deli and Bar,"625 Wolf STREET,  Syracuse",13208,2014-03-12,859346,Inspection,Food Service Establishment,Restaurant,NA,NA,0,3,0,NA,NA,NA
2nd North Deli and Bar,"625 Wolf STREET,  Syracuse",13208,2015-03-31,859346,Inspection,Food Service Establishment,Restaurant,NA,NA,3,14,0,0,3,0
2nd North Deli and Bar,"625 Wolf STREET,  Syracuse",13208,2015-04-23,859346,Re-Inspection,Food Service Establishment,Restaurant,NA,NA,1,4,0,3,14,0
2nd North Deli and Bar,"625 Wolf STREET,  Syracuse",13208,2016-01-21,859346,Inspection,Food Service Establishment,Restaurant,NA,NA,1,7,0,1,4,0
2nd North Deli and Bar,"625 Wolf STREET,  Syracuse",13208,2016-09-27,859346,Inspection,Food Service Establishment,Restaurant,NA,NA,2,10,0,1,7,0
317 (The),"317 Montgomery STREET,  Syracuse",13202,2013-09-19,849640,Inspection,Food Service Establishment,Restaurant,NA,NA,0,0,0,NA,NA,NA
317 (The),"317 Montgomery STREET,  Syracuse",13202,2014-05-20,849640,Inspection,Food Service Establishment,Restaurant,NA,NA,1,7,0,0,0,0
317 (The),"317 Montgomery STREET,  Syracuse",13202,2014-12-17,849640,Inspection,Food Service Establishment,Restaurant,NA,NA,1,3,0,1,7,0
317 (The),"317 Montgomery STREET,  Syracuse",13202,2015-03-13,849640,Re-Inspection,Food Service Establishment,Restaurant,NA,NA,0,0,0,1,3,0
317 (The),"317 Montgomery STREET,  Syracuse",13202,2015-10-08,849640,Inspection,Food Service Establishment,Restaurant,NA,NA,0,3,0,0,0,0
600 Erie Cafe,"620 Erie Boulevard West,  Syracuse",13204,2013-04-18,833282,Inspection,Food Service Establishment,Restaurant,NA,NA,0,2,0,NA,NA,NA
600 Erie Cafe,"620 Erie Boulevard West,  Syracuse",13204,2013-09-27,833282,Inspection,Food Service Establishment,Restaurant,NA,NA,3,2,0,0,2,0
600 Erie Cafe,"620 Erie Boulevard West,  Syracuse",13204,2014-09-15,833282,Inspection,Food Service Establishment,Restaurant,NA,NA,6,5,1,3,2,0
600 Erie Cafe,"620 Erie Boulevard West,  Syracuse",13204,2014-10-08,833282,Inspection,Food Service Establishment,Restaurant,NA,NA,1,1,0,6,5,1
600 Erie Cafe,"620 Erie Boulevard West,  Syracuse",13204,2015-10-29,833282,Inspection,Food Service Establishment,Restaurant,NA,NA,3,5,0,1,1,0
AFC Sushi @ LeMoyne College,"1419 Salt Springs ROAD,  Syracuse",13214,2012-08-22,814498,Inspection,Food Service Establishment,Food Service Establishment,43.04735,-76.088424,0,0,0,NA,NA,NA
AFC Sushi @ LeMoyne College,"1419 Salt Springs ROAD,  Syracuse",13214,2013-03-12,814498,Inspection,Food Service Establishment,Food Service Establishment,43.04735,-76.088424,1,0,0,0,0,0
AFC Sushi @ LeMoyne College,"1419 Salt Springs ROAD,  Syracuse",13214,2013-09-18,814498,Inspection,Food Service Establishment,Food Service Establishment,43.04735,-76.088424,0,0,0,1,0,0
