"","ID","name","facilityType","zip","date","inspectionType","nCritical","nNonCritical","nCritical_prev","nNonCritical_prev","daysTilExp","daysSincePrev","alcLicense","isTest","X","Y","avg_neighbor_num_critical","avg_neighbor_num_non_critical","top_match","second_match"
"1","1","American Legion Valley Post 1468","Food Service Establishment",13207,"9/19/2006","Inspection",0,3,NA,NA,3787,NA,TRUE,FALSE,-76.15239,42.999841,0.645108225108225,3.95181818181818,"1294","2788"
"2","1","American Legion Valley Post 1468","Food Service Establishment",13207,"6/22/2007","Inspection",2,4,0,3,3511,276,TRUE,FALSE,-76.15239,42.999841,0.551515151515152,4.06666666666667,"1294","2788"
"3","1","American Legion Valley Post 1468","Food Service Establishment",13207,"4/21/2008","Inspection",1,1,2,4,3207,304,TRUE,FALSE,-76.15239,42.999841,0.655833333333333,3.86833333333333,"1294","2788"
"4","1","American Legion Valley Post 1468","Food Service Establishment",13207,"3/2/2009","Inspection",1,3,1,1,2892,315,TRUE,FALSE,-76.15239,42.999841,0.713333333333333,3.84666666666667,"1294","2788"
"5","1","American Legion Valley Post 1468","Food Service Establishment",13207,"1/22/2010","Inspection",1,2,1,3,2566,326,TRUE,FALSE,-76.15239,42.999841,1.2,5.6,"1294","4837"
"6","1","American Legion Valley Post 1468","Food Service Establishment",13207,"1/21/2011","Inspection",2,3,1,2,2202,364,TRUE,FALSE,-76.15239,42.999841,1.2,5.6,"1294","4837"
"7","1","American Legion Valley Post 1468","Food Service Establishment",13207,"1/18/2012","Inspection",1,2,2,3,1840,362,TRUE,FALSE,-76.15239,42.999841,0.8,5.4,"4837","166"
"8","1","American Legion Valley Post 1468","Food Service Establishment",13207,"9/13/2012","Inspection",1,6,1,2,1601,239,TRUE,FALSE,-76.15239,42.999841,0.620108225108225,4.00181818181818,"1294","2788"
"9","1","American Legion Valley Post 1468","Food Service Establishment",13207,"3/25/2013","Inspection",0,3,1,6,1408,193,TRUE,FALSE,-76.15239,42.999841,0.703809523809524,3.74190476190476,"1294","2788"
"10","1","American Legion Valley Post 1468","Food Service Establishment",13207,"9/3/2013","Inspection",0,1,0,3,1246,162,TRUE,FALSE,-76.15239,42.999841,0.609210789210789,4.0206993006993,"1294","2788"
"11","1","American Legion Valley Post 1468","Food Service Establishment",13207,"5/16/2014","Inspection",0,2,0,1,991,255,TRUE,FALSE,-76.15239,42.999841,0.553333333333333,4.08666666666667,"1294","2788"
"12","1","American Legion Valley Post 1468","Food Service Establishment",13207,"11/19/2014","Inspection",1,0,0,2,804,187,TRUE,FALSE,-76.15239,42.999841,0.98,5.63,"1294","2788"
"13","1","American Legion Valley Post 1468","Food Service Establishment",13207,"5/6/2015","Inspection",1,2,1,0,636,168,TRUE,FALSE,-76.15239,42.999841,0.57047619047619,4.11428571428571,"1294","2788"
"14","1","American Legion Valley Post 1468","Food Service Establishment",13207,"7/7/2016","Inspection",0,1,1,2,208,428,TRUE,TRUE,-76.15239,42.999841,0.641991341991342,4.10952380952381,"1294","2788"
"15","10","New Depot Grill","Restaurant",13203,"3/23/2006","Inspection",2,3,NA,NA,3967,NA,TRUE,FALSE,-76.139035,43.052244,0.481385281385281,2.71688311688312,"4088","4834"
"16","10","New Depot Grill","Restaurant",13203,"3/14/2007","Inspection",2,3,2,3,3611,356,TRUE,FALSE,-76.139035,43.052244,0.466666666666667,2.8,"4088","4834"
"17","10","New Depot Grill","Restaurant",13203,"1/7/2008","Inspection",2,5,2,3,3312,299,TRUE,FALSE,-76.139035,43.052244,0,3.4,"4834","1001"
"18","10","New Depot Grill","Restaurant",13203,"12/3/2008","Inspection",2,3,2,5,2981,331,TRUE,FALSE,-76.139035,43.052244,0.519047619047619,2.67142857142857,"4088","4834"
"19","10","New Depot Grill","Restaurant",13203,"9/15/2009","Inspection",1,4,2,3,2695,286,TRUE,FALSE,-76.139035,43.052244,0.555555555555556,2.34444444444444,"4742","4088"
"20","10","New Depot Grill","Restaurant",13203,"11/17/2010","Inspection",2,6,1,4,2267,428,TRUE,FALSE,-76.139035,43.052244,0.6,3.21666666666667,"4088","4834"
"21","10","New Depot Grill","Restaurant",13203,"12/14/2011","Inspection",2,6,2,6,1875,392,TRUE,FALSE,-76.139035,43.052244,0.566666666666667,2.8,"4088","4834"
"22","10","New Depot Grill","Restaurant",13203,"11/29/2012","Inspection",0,6,2,6,1524,351,TRUE,FALSE,-76.139035,43.052244,0.583333333333333,3.1,"4088","4834"
"23","10","New Depot Grill","Restaurant",13203,"10/2/2013","Inspection",1,4,0,6,1217,307,TRUE,FALSE,-76.139035,43.052244,0.7,3.6,"4834","3923"
"24","10","New Depot Grill","Restaurant",13203,"7/23/2014","Inspection",2,1,1,4,923,294,TRUE,FALSE,-76.139035,43.052244,0.514285714285714,2.6702380952381,"4742","4088"
"25","10","New Depot Grill","Restaurant",13203,"9/8/2015","Inspection",1,4,2,1,511,412,TRUE,FALSE,-76.139035,43.052244,0.645474525474525,2.76870462870463,"4742","4088"
"26","10","New Depot Grill","Restaurant",13203,"10/21/2015","Re-Inspection",0,1,1,4,468,43,TRUE,FALSE,-76.139035,43.052244,0.6,3.8,"4834","3923"
