"","name","is_closed","rating","review_count","location.address1","location.zip_code","coordinates.latitude","coordinates.longitude","price","phone"
"1","Pho Far East",FALSE,4,295,"4011 Capital Blvd","27604",35.8363980987574,-78.5833253204792,"$$","+19198768621"
"2","Pho Super 9",FALSE,4,93,"6401 Triangle Plantation Dr","27616",35.8739859799134,-78.5823287401577,"$$","+19198781599"
"3","Spring Cafe",FALSE,3.5,35,"2900 Spring Forest Rd","27616",35.85495,-78.59114,"$","+19199773679"
"4","Mo-Te Vietnamese Restaurant",FALSE,4,74,"3901-163 Capital Blvd","27604",35.8361864400349,-78.5862606071032,"$","+19198723561"
"5","Pho 79 & Crawfish",FALSE,3.5,42,"3310 Capital Blvd","27604",35.8247947874903,-78.5855561961022,"$$","+19198787898"
"6","Olive Garden Italian Restaurant",FALSE,3,60,"4805 Capital Blvd","27616",35.8508949279785,-78.5815582275391,"$$","+19199548557"
"7","Cafe Capistrano",FALSE,3.5,67,"8741 Garvey Dr","27616",35.8950386047363,-78.5684127807617,"$$","+19198721127"
"8","Saint Jacques",FALSE,4.5,154,"6112 Falls Of Neuse Rd","27609",35.866096,-78.618364,"$$$","+19198622770"
"9","Deja Brew  Coffee House",FALSE,3.5,53,"5001 Falls of Neuse Rd","27609",35.849150756182,-78.615103014443,"$","+19192394612"
"10","Sawasdee Thai Restaurant",FALSE,4,141,"3601 Capital Blvd","27604",35.82958,-78.58592,"$$","+19198780049"
"11","Starbucks",FALSE,5,5,"5959 Triangle Town Blvd","27616",35.8667908,-78.5738373,"$$","+19197922227"
"12","Sola Coffee Cafe",FALSE,4.5,223,"7705 Lead Mine Rd","27615",35.885281,-78.659985,"$","+19198038983"
"13","Coquette Brasserie",FALSE,4,320,"4351 The Circle at North HIlls","27609",35.8378724278881,-78.642446506607,"$$","+19197890606"
"14","Spring Rolls",FALSE,3,98,"4361 Lassiter At N Hills Ave","27609",35.8380637541134,-78.6437845230103,"$$","+19197838180"
"15","Thai House",FALSE,4,120,"1408 Hardimont Rd","27609",35.836212,-78.615112,"$$","+19198783379"
"16","Red Lobster",FALSE,3,53,"4408 Old Wake Forest Road","27609",35.84113,-78.61058,"$$","+19198725608"
"17","Seoul Garden Restaurant",FALSE,4,238,"4701 Atlantic Ave","27604",35.849052806532,-78.602974194118,"$$","+19198509984"
"18","Monapita Mediterranean Grill",FALSE,4.5,128,"5260 Capital Blvd","27616",35.8584037,-78.5805677,"$","+19194316500"
"19","The Melting Pot",FALSE,3.5,93,"3100 Wake Forest Rd","27609",35.82403,-78.6217999,"$$$","+19198780477"
"20","Lemongrass Thai Restaurant",FALSE,4,92,"8320 Litchford Rd","27615",35.89223,-78.59988,"$$","+19199540377"
"21","Taste Carolina Gourmet Food Tours",FALSE,4.5,86,NA,"27601",35.7744064331055,-78.6339492797852,"$$","+19192372254"
"22","The Blistered Pig Smokehouse",FALSE,3,131,"225 N Salem St","27502",35.7326316833496,-78.8508758544922,"$$","+19194463366"
"23","Salem Street Pub",FALSE,4,151,"113 N Salem St","27502",35.7312469482422,-78.8515167236328,"$$","+19193879992"
"24","Daniel's Restaurant & Catering",FALSE,4,203,"1430 Hwy 55","27523",35.7524767600721,-78.876610994339,"$$","+19193031006"
"25","Peak City Grill & Bar",FALSE,3.5,131,"126 N Salem St","27502",35.731585974544,-78.850696443917,"$$$","+19193038001"
"26","Tyler's Restaurant and Taproom",FALSE,3,146,"1479 Beaver Creek Commons Dr","27502",35.744804205625,-78.884400986014,"$$","+19193551380"
"27","Skipper's Fish Fry",FALSE,4,133,"1001 E Williams St","27502",35.7211112976074,-78.843505859375,"$$","+19193032400"
"28","The Pet Pantry",FALSE,5,25,"2521 Schieffelin Rd","27502",35.7233924865723,-78.8295059204102,NA,"+19193031990"
"29","Lucky 32 Southern Kitchen",FALSE,4,409,"7307 Tryon Rd","27511",35.7365208018483,-78.7852342071777,"$$","+19192331632"
"30","Tony's Oyster Bar",FALSE,3,105,"107 Edinburgh Dr","27511",35.7393810153008,-78.7982086837292,"$$","+19194626226"
"31","City Barbeque",FALSE,4,308,"1305 Kildaire Farm Rd","27511",35.7610092790252,-78.782536610241,"$$","+19194395191"
"32","Doherty's Irish Pub & Restaurant",FALSE,4,214,"1979 High House Rd","27519",35.7885668,-78.8480648,"$$","+19193889930"
"33","West Park Tavern",FALSE,3.5,106,"2734 Nc 55 Hwy","27519",35.7854222,-78.8709665,"$$","+19193039300"
"34","Abbey Road Tavern & Grill",FALSE,3.5,163,"1195 W Chatham St","27513",35.770710117212,-78.807025270605,"$$","+19194814434"
"35","Corbett's Burgers and Soda Bar",FALSE,4.5,195,"126 Kilmayne Dr","27511",35.7704475557315,-78.7833854556084,"$","+19194660055"
"36","Totopos",FALSE,4,277,"1388 Kildaire Farm Rd","27511",35.759174,-78.783798,"$$","+19196783449"
"37","Brew N Que",FALSE,4.5,196,"1222 NW Maynard Rd","27513",35.7846439066943,-78.8094571350688,"$$","+19197992023"
"38","Char Grill",FALSE,3.5,25,"3635 SW Cary Pkwy","27513",35.7816251027419,-78.8382900230878,"$","+19194617112"
"39","CinéBistro At Waverly Place",FALSE,4.5,114,"525 New Waverly Pl","27518",35.738913247148,-78.7767246455078,"$$","+19199873500"
"40","The Corner Tavern and Grill",FALSE,3.5,77,"1301 NW Maynard Rd","27513",35.7852854,-78.8101574,"$$","+19194600088"
"41","Taco Bell",FALSE,3,8,"2207 S. Main Street","27587",35.946919,-78.536299,"$","+19195544924"
"42","Gonza Tacos Y Tequila",FALSE,4,98,"1851-1889 S Main St","27587",35.9525325,-78.5275968,"$$","+19192052500"
"43","Tlaquepaque Mexican Cuisine",FALSE,4,84,"11206 Capital Blvd","27587",35.951672,-78.538906,"$$","+19195542544"
"44","Chubby's Tacos",FALSE,3.5,82,"River Town Center","27614",35.9079596,-78.5886189,"$","+19198467044"
"45","Las Margaritas Mexican Restaurant",FALSE,4,59,"111 S White St","27587",35.978885,-78.509246,"$$","+19195568319"
"46","Moe's Southwest Grill",FALSE,3,20,"10760-101 Wakefield Commons Dr","27614",35.942630224462,-78.5411123722927,"$","+19195703222"
"47","Don Julio Mexican Restaurant",FALSE,4,24,"12516 Capital Blvd","27587",35.985935,-78.532707,"$$","+19842351537"
"48","Los Tres Magueyes",FALSE,3,26,"12400 Wake Union Church Rd","27587",35.9831466674805,-78.5389709472656,"$","+19195542554"
"49","Bangkok Thai",FALSE,4,92,"13200 Falls of Neuse Rd","27614",35.9406604251596,-78.5597248043686,"$$","+19195541561"
"50","Mellow Mushroom",FALSE,3.5,59,"2125 S Main St","27587",35.94743,-78.5355,"$$","+19195568884"
"51","Tropical Picken Chicken",FALSE,4,176,"2010 S Main St","27587",35.94976,-78.53137,"$","+19194356812"
"52","Buffalo Brothers",FALSE,3,59,"11735 Retail Dr","27587",35.9677061769395,-78.5434391480247,"$$","+19195706004"
"53","Shuckers Oyster Bar & Grill",FALSE,4,162,"3309 Rogers Rd","27587",35.95073,-78.51539,"$$","+19194531593"
"54","Smithfield's Chicken N Bar-B-Q",FALSE,3.5,17,"12504 Capital Blvd","27587",35.986667,-78.533821,"$","+19194888388"
"55","Chili's",FALSE,2.5,18,"11380 Capital Blvd","27587",35.954856,-78.539833,"$$","+19195540488"
"56","On The Border Mexican Grill & Cantina",FALSE,3,49,"3351 Cypress Plantation Trl","27616",35.871212094365,-78.582443948576,"$$","+19198903100"
"57","Taza Grill",FALSE,4.5,36,"10940 Raven Ridge Rd","27614",35.907678999512,-78.5901638679913,"$","+19198457772"
"58","East Coast Wings & Grill",FALSE,3,32,"12646 Capital Blvd","27587",35.9894054,-78.5311414,"$$","+19843773294"
