name,is_closed,rating,review_count,location.address1,location.zip_code,coordinates.latitude,coordinates.longitude,price,phone,categories
Pho Far East,FALSE,4.0,296,4011 Capital Blvd,27604,35.8363980987574,-78.5833253204792,$$,+19198768621,vietnamese
Pho Super 9,FALSE,4.0,93,6401 Triangle Plantation Dr,27616,35.8739859799134,-78.5823287401577,$$,+19198781599,vietnamese
Spring Cafe,FALSE,3.5,35,2900 Spring Forest Rd,27616,35.85495,-78.59114,$,+19199773679,"breakfast_brunch,sandwiches,tradamerican"
Mo-Te Vietnamese Restaurant,FALSE,4.0,74,3901-163 Capital Blvd,27604,35.8361864400349,-78.5862606071032,$,+19198723561,vietnamese
Pho 79 & Crawfish,FALSE,3.5,42,3310 Capital Blvd,27604,35.8247947874903,-78.5855561961022,$$,+19198787898,"vietnamese,seafood"
Olive Garden Italian Restaurant,FALSE,3.0,60,4805 Capital Blvd,27616,35.8508987,-78.5815735,$$,+19199548557,"italian,salad,wine_bars"
Cafe Capistrano,FALSE,3.5,66,8741 Garvey Dr,27616,35.8951,-78.56837,$$,+19198721127,"mexican,cafes"
Saint Jacques,FALSE,4.5,154,6112 Falls Of Neuse Rd,27609,35.866096,-78.618364,$$$,+19198622770,"french,wine_bars"
Deja Brew  Coffee House,FALSE,3.5,53,5001 Falls of Neuse Rd,27609,35.849150756182,-78.615103014443,$,+19192394612,coffee
Starbucks,FALSE,5.0,5,5959 Triangle Town Blvd,27616,35.8667908,-78.5738373,$$,+19197922227,coffee
Sawasdee Thai Restaurant,FALSE,4.0,141,3601 Capital Blvd,27604,35.82958,-78.58592,$$,+19198780049,thai
Sola Coffee Cafe,FALSE,4.5,224,7705 Lead Mine Rd,27615,35.885281,-78.659985,$,+19198038983,"coffee,cafes,donuts"
Coquette Brasserie,FALSE,4.0,320,4351 The Circle at North HIlls,27609,35.8378724278881,-78.642446506607,$$,+19197890606,"french,breakfast_brunch"
Spring Rolls,FALSE,3.0,98,4361 Lassiter At N Hills Ave,27609,35.8380637541134,-78.6437845230103,$$,+19197838180,asianfusion
Red Lobster,FALSE,3.0,53,4408 Old Wake Forest Road,27609,35.84113,-78.61058,$$,+19198725608,"seafood,tradamerican"
Thai House,FALSE,3.5,121,1408 Hardimont Rd,27609,35.8370651,-78.6141399,$$,+19198783379,thai
Seoul Garden Restaurant,FALSE,4.0,239,4701 Atlantic Ave,27604,35.849052806532,-78.602974194118,$$,+19198509984,korean
Monapita Mediterranean Grill,FALSE,4.5,128,5260 Capital Blvd,27616,35.8584037,-78.5805677,$,+19194316500,mediterranean
The Melting Pot,FALSE,3.5,91,3100 Wake Forest Rd,27609,35.82403,-78.6217999,$$$,+19198780477,fondue
